Label,Hindi,Eng,Marathi,Tamil,German,Japanese
#kOna_2,#kOna_2,which_2,,,,
AKirI_1,AKirI_1,last_1,,,,
APataranUna_1,APataranUna_1,afternoon_1,,,,
ASA+raKa_1,ASA+raKa_1,expect_1,,,,
ASA+kara_1,ASA+kara_1,expect_2,,,,
ASaMkA_1,ASaMkA_1,fear_1,,,,
ATavIM_1,ATavIM_1,eighth_1,,,,
xasavIM_1,xasavIM_1,tenth_1,,,,
A_1,A_1,come_1,,,kommen_1,kuru_1
A_2,A_2,go_2,,,,
A_3,A_3,know_3,,,,
AisakrIma_1,AisakrIma_1,ice-cream_1,,,,
Aja_1,Aja_1,today_1,,,heute_1,
AjamA_1,AjamA_1,test_1,,,,
AlasI_1,AlasI_1,lazy_1,,,,
ArAma_1,ArAma_1,break_1,,,,
AramBa+ho_1,AramBa+ho_1,begin_1,,,,
AvaSyakawA+ho_1,AvaSyakawA+ho_1,need_1,,,brauchen_1,
Avexana+kara_1,Avexana+kara_1,apply_1,,,,
AxamI_1,AxamI_1,man_1,,,mann_1,
Axawa_1,Axawa_1,habit_1,,,,
AyA_1,AyA_1,maid_1,,,,
Ayu_1,Ayu_1,age_1,,,,
Ayu_2,Ayu_2,old_2,,,alt_1,
BAI_1,BAI_1,brother_1,,,,
BAga_1,BAga_1,run-away_1,,,,
BArI-Barakama_1,BArI-Barakama_1,heavy_1,,,schwer_1,
BI_2,BI_2,also_1,,,auch_1,
BIdZa_1,BIdZa_1,crowd_1,,,menge_1,
BUKA_1,BUKA_1,hungry_1,,,hunger_1,
BUKa_1,BUKa_1,hunger_1,,,,
BalAI_1,BalAI_1,welfare_1,,,,
Bara_1,Bara_1,fill_1,,,,
BaviRya_1,BaviRya_1,future_1,,,,
Beja_1,Beja_1,send_1,,,,
BiKArI_1,BiKArI_1,beggar_1,,,,
Bojana_1,Bojana_1,food_1,,,,
Bramana+kara_1,Bramana+kara_1,travel_1,,,,
CAwra_1,CAwra_1,student_1,,,,
CAwravqwwi_1,CAwravqwwi_1,scholarship_1,,,stipendium_1,
CUta_1,CUta_1,miss_1,,,,
CUta_2,CUta_2,discount_2,,,,
CaH_1,CaH_1,six_1,,,,
Caha_1,Caha_1,six_2,,,sechs_1,
CodZa_1,CodZa_1,leave_1,,,,
CodZa_2,CodZa_2,drop_2,,,,
CotA_1,CotA_1,small_1,,,klein,
CotA_2,CotA_2,young_2,,,jung_2,
CuttI_1,CuttI_1,holiday_1,,,,
DUMDZa_1,DUMDZa_1,look_1,,,,
DUMDZa_2,DUMDZa_2,seek_2,,,,
DUMDZa_3,DUMDZa_3,find_1,,,,
DUMDa_1,DUMDa_1,seek_1,,,,
Daka_1,Daka_1,cover_1,,,,
EsA_1,EsA_1,such_1,,,,
GAsa_1,GAsa_1,grass_1,,,,
GUma_1,GUma_1,visit_1,,,,
GUmanA_1,GUmanA_1,visiting_1,,,,
GadZI_3,GadZI_3,watch_3,,,,
GanA_1,GanA_1,thickly_1,,,,
GaniRTa_1,GaniRTa_1,close_1,,,,
GantA_1,GantA_1,hour_1,,,stunde_1,
Gara_1,Gara_1,house_1,,,,
Gara_2,Gara_2,home_2,,,,
GqNA+kara_1,GqNA+kara_1,hate_1,,,hassen_1,
ImAnaxAra_1,ImAnaxAra_1,honest_1,,,,
JUTa_2,JUTa_1,lie_1,,,liegen_1,
JagadZA+kara_1,JagadZA+kara_1,quarrel_1,,,,
KA_1,KA_1,eat_1,,,aß_1,taberu_1
KAnA_1,KAnA_1,meal_1,,,,
KAnA_2,KAnA_2,food_2,,,,
KAsa_1,KAsa_1,original_1,,,,
KAwA_1,KAwA_1,account_1,,,,
Kabara_1,Kabara_1,news_1,,,,
KabaraxArI+kara_1,KabaraxArI+kara_1,take care_1,,,,
KadZA+ho_1,KadZA+ho_1,stand_1,,,,
KajAnA_1,KajAnA_1,treasure_1,,,,
KarIxa_1,KarIxa_1,buy_1,,,kaufen_1,
KarIxa_2,KarIxa_2,purchase_2,,,,
KaragoSa_1,KaragoSa_1,rabbit_1,,,,
KayAla_1,KayAla_1,thought_1,,,,
KayAla_2,KayAla_2,opinion_2,,,,
Kela_1,Kela_1,play_1,,,,
Kela_2,Kela_2,play_2,,,,
Kela_3,Kela_3,game_3,,,,
KilAdZI_1,KilAdZI_1,player_1,,,,
Kola_1,Kola_1,open_1,,,offen_1,hiraku_1
Kuxa_1,Kuxa_1,you_1,,,,
Kuxa_2,Kuxa_2,him_2,,,,
Ora_1,Ora_1,and_1,,,und_1,
Ora_2,Ora_2,other_2,,,,
Orawa_1,Orawa_1,lady_1,,,,
PAila_1,PAila_1,file_1,,,,
PEla_1,PEla_1,spread_1,,,,
PEla_2,PEla_2,prevail_2,,,,
PIlda_1,PIlda_1,field_1,,,,
POrana_1,POrana_1,immediately_1,,,,
PUla_1,PUla_1,flower_1,,,blume_1,hana_1
PZArma_1,PZArma_1,form_1,,,,
PZEksa_1,PZEksa_1,fax_1,,,,
PZEmilI_1,PZEmilI_1,family_1,,,,
PZilma_1,PZilma_1,movie_1,,,film_1,eiga_1
PZlEta_1,PZlEta_1,flat_1,,,wohnung_1,
PZona_1,PZona_1,phone_1,,,,
Pala_1,Pala_1,fruit_1,,,frucht_1,
Pala_2,Pala_2,result_2,,,,
ParavarI_1,ParavarI_1,Feb_1,,,,
Pira_1,Pira_1,then_1,,,,
PutabAla_1,PutabAla_1,football_1,,,,
PutaboYla+mEtca_1,PutaboYla+mEtca_1,football-match_1,,,,
SAma_1,SAma_1,evening_1,,,,
SAmila+ho_1,SAmila+ho_1,join_1,,,,
SAxISuxA_1,SAxISuxA_1,married_1,,,,
SAxI_1,SAxI_1,marriage_1,,,,
SAyaxa_1,SAyaxa_1,probable_1,,,wahrscheinlich_1,
SOkIna_1,SOkIna_1,fond_1,,,,
SOka_1,SOka_1,hobby_1,,,,
SanivAra_1,SanivAra_1,Sat_1,,,,
SarArawI_1,SarArawI_1,naughty_1,,,,
Sabda_1,Sabda_1,word_1,,,,
Sera_2,Sera_2,tiger_1,,,,
SikArI_1,SikArI_1,hunter_1,,,Jäger_1,
SikAra+kara_1,SikAra+kara_1,hunt_1,,,,
SikAra_1,SikAra_1,hunt_2,,,,
SikRaNa_1,SikRaNa_1,teaching_1,,,,
SukravAra_1,SukravAra_1,Fri_1,,,,
TIka+kara_1,TIka+kara_1,correct_1,,,,
TIka_1,TIka_1,right_1,,,,
TIka_2,TIka_2,allright_2,,,,
TaMdA_1,TaMdA_1,cool_1,,,,
TaMdA_2,TaMdA_2,cold_2,,,,
TaNdA_1,TaNdA_1,cold_1,,,,
Tahara_1,Tahara_1,stay_1,,,bleiben_1,
WA_1,WA_1,be_1,,,dort_1,
WodZA_1,WodZA_1,some_1,,,etwas_1,
XArApravAha_1,XArApravAha_1,fluently_1,,,,
XErya_1,XErya_1,patience_1,,,,
XIre_1,XIre_1,slow_1,,,langsam_1,
XanI_1,XanI_1,rich_1,,,,
aBI_1,aBI_1,just_1,,,gerade_1,
aByAsa+kara_1,aByAsa+kara_1,study_1,,,,
aKabAra_1,aKabAra_1,newspaper_1,,,zeitung_1,
aMSaxAna_1,aMSaxAna_1,contribution_1,,,,
aMXA_1,aMXA_1,blind_1,,,blind_1,
aMgrejI_1,aMgrejI_1,english_1,,,englisch_1,
aMgreja_1,aMgreja_1,british_1,,,,
aMxAjana_1,aMxAjana_1,approximate_1,,,,
aXyApaka_1,aXyApaka_1,teacher_1,,,,
aXyApana_1,aXyApana_1,teaching_2,,,,
aba_1,aba_1,now_1,,,,
aba_2,aba_2,now_2,,,,
acCA+laga_1,acCA+laga_1,like_1,,,mögen_1,
acCA_1,acCA_1,good_1,,,gut_1,
acCA_2,acCA_2,nice_2,,,nett_1,
agalA_1,agalA_1,next_1,,,,
agalI_1,agalI_1,next_2,,,,
agaswa_1,agaswa_1,Aug_1,,,,
akelApana_1,akelApana_1,lonely_1,,,,sabishii_1
akele_1,akele_1,alone_1,,,,
aktUbara_1,aktUbara_1,Oct_1,,,,
amIra_1,amIra_1,rich_2,,,,
amUlya_1,amUlya_1,invaluable_1,,,,
anAWAlaya_1,anAWAlaya_1,orphanage_1,,,,
anuBava_1,anuBava_1,experience_1,,,,
anupasWiwa_1,anupasWiwa_1,absent_1,,,abwesend_1,kesseki_1
anxara_1,anxara_1,in_1,,,,
apAiMtameMta_1,apAiMtameMta_1,appointment_1,,,,
apaharaNa+kara_1,apaharaNa+kara_1,kidnap_1,,,,
apaharaNa_1,apaharaNa_1,kidnap_2,,,,
aprEla_1,aprEla_1,Apr_1,,,,
asahanIya_1,asahanIya_1,unbearable_1,,,,
asara_1,asara_1,effect_1,,,,
asisteMta+mEnejara_1,asisteMta+mEnejara_1,Assistant-manager_1,,,,
aspatAla_1,aspatAla_1,hospital_1,,,,
avaSya_1,avaSya_1,must_1,,,müssen_1,
axBuwa_1,axBuwa_1,strange_1,,,,
bAjAra_1,bAjAra_1,market_1,,,Markt_1,
bAjZAra_1,bAjZAra_1,market_2,,,,
bAla+gIwa_1,bAla+gIwa_1,nursery-rhyme_1,,,,
bAla+saBA_1,bAla+saBA_1,child-assembly_1,,,,
bAlaka_1,bAlaka_1,boy_1,,,jung_1,shounen_1
bAra-bAra_1,bAra-bAra_1,again-and-again_1,,,,
bAwa+kara_1,bAwa+kara_1,talk_1,,,,
bAwa+karanA_1,bAwa+karanA_1,talking_1,,,,
bAwa_1,bAwa_1,matter_1,,,,
bAwa+mAna_1,bAwa+mAna_1,obey_1,,,,
bAwacIwa+kara_1,bAwacIwa+kara_1,communicate_1,,,,
bAwacIwa+kara_2,bAwacIwa+kara_2,talk_2,,,,
bAwacIwa_1,bAwacIwa_1,talking_2,,,,
bAyeM_1,bAyeM_1,left_1,,,,
bAzsurI_1,bAzsurI_1,flute_1,,,,
bETa_1,bETa_1,sit_1,,,sitzen_1,suwaru_1
bETa_2,bETa_2,join_2,,,,
bIja_1,bIja_1,seed_1,,,,
bImAra_1,bImAra_1,ill_1,,,krank_1,
bUDZA_1,bUDZA_1,old_1,,,,
bUDZA_2,bUDZA_2,old_5,,,,
bUDZI_1,bUDZI_1,old_3,,,,
baDZaI_1,baDZaI_1,carpenter_1,,,tischler_1,
baMxa+kara_1,baMxa+kara_1,close_2,,,,
baMxa_1,baMxa_1,close_3,,,,
baMxara_1,baMxara_1,monkey_1,,,,
baWA_1,baWA_1,tell_1,,,erzählen_1,
bacapana_1,bacapana_1,childhood_1,,,,
bacawa+KAwA_1,bacawa+KAwA_1,saving-account_1,,,,
baccA_1,baccA_1,baby_1,,,,
baccA_2,baccA_2,child_2,,,kind_1,
badA_1,badA_1,elder_1,,,,
badA_2,badA_2,huge_2,,,,
badA_3,badA_3,big_3,,,groß_1,
badA_4,badA_4,very_4,,,,
badZA+kara_1,badZA+kara_1,grant_1,,,,
badZA_1,badZA_1,great_1,,,,
bahana_1,bahana_1,sister_1,,,,
bahasa+kara_1,bahasa+kara_1,argue_1,,,,
bahumUlya_1,bahumUlya_1,valuable_1,,,,
bahuwa_1,bahuwa_1,many_1,,,,
bahuwa_5,bahuwa_5,much_1,,,,
bahuwa_2,bahuwa_2,very_2,,,sehr_1,
bahuwa_3,bahuwa_3,too-much_3,,,,
bajA_1,bajA_1,play_3,,,spielen_1,
bajAnA_1,bajAnA_1,playing_1,,,,
baja_1,baja_1,play_4,,,,
bajata_1,bajata_1,budget_1,,,,
baksA_1,baksA_1,box_1,,,box_1,
banA_1,banA_1,make_1,,,machen_1,tsukuru_1
banA_2,banA_2,cook_2,,,kocht_1,
bana_1,bana_1,be_2,,,,
bana_2,bana_2,become_2,,,werden_1,
banxa_1,banxa_1,close_4,,,,
barPa_1,barPa_1,snow_1,,,,
barabAxa+kara_1,barabAxa+kara_1,waste_1,,,,
barabAxa_1,barabAxa_1,waste_2,,,,
barasAwa_1,barasAwa_1,rain_1,,,,
basa+addA_1,basa+addA_1,bus-stop_1,,,bushaltestelle_1,
basa_1,basa_1,bus_1,,,bus_1,
batana_1,batana_1,switch_1,,,,
bawA_1,bawA_1,suggest_1,,,,
bawA_2,bawA_2,tell_2,,,,
baxalAva_1,baxalAva_1,change_1,,,,
baxala_1,baxala_1,change_2,,,,
betA_1,betA_1,son_1,,,sohn_1,
bijZanesa_1,bijZanesa_1,business_1,,,,
bijalI+kI+katOwI_1,bijalI+kI+katOwI_1,power-cut_1,,,,
bijalI_1,bijalI_1,light_1,,,,
bilkula_1,bilkula_1,perfect_1,,,,
billI_1,billI_1,cat_1,,,katze_1,neko_1
biswara_1,biswara_1,bed_1,,,,
blada+preSara_1,blada+preSara_1,blood-pressure_1,,,,
bo_1,bo_1,sow_1,,,,
bola_1,bola_1,speak_1,,,,
bola_2,bola_2,tell_3,,,,
bqhaspawivAra_1,bqhaspawivAra_1,Thu_1,,,,
brekaPAsta+sIriyala_1,brekaPAsta+sIriyala_1,breakfast-cereal_1,,,,
brokara_1,brokara_1,broker_1,,,,
buA_1,buA_1,aunt_1,,,,
buXavAra_1,buXavAra_1,Wed_1,,,,
bujZurga_1,bujZurga_1,elder_2,,,,
bulA_1,bulA_1,call_1,,,rufen_1,
burA_1,burA_1,bad_1,,,,
cAcA_1,cAcA_1,uncle_1,,,onkel_1,
cAha_1,cAha_1,want_1,,,wollen_1,
cAha_2,cAha_2,flat_2,,,,
cAha_3,cAha_3,should_3,,,sollen_1,
cAhiye_1,cAhiye_1,want_2,,,mögen_1,
cAlAka_1,cAlAka_1,clever_1,,,,
cAlacalana_1,cAlacalana_1,conduct_1,,,,
cAvala_1,cAvala_1,rice_1,,,Reis_1,
cAya_1,cAya_1,tea_1,,,,
cIja_1,cIja_1,thing_1,,,ding_1,
caba_1,caba_1,chew_1,,,,
calA_1,calA_1,make walk_1,,,,
cala_1,cala_1,move_1,,,,
cala_2,cala_2,let_2,,,,
cala_3,cala_3,move_3,,,,
cala_4,cala_4,walk_4,,,spazieren_1,
cala_5,cala_5,go_5,,,gehen_1,
calacciwra_1,calacciwra_1,movie_2,,,,
camadZA_1,camadZA_1,leather_1,,,,
cammaca_1,cammaca_1,spoon_1,,,Löfifel_1,
catAI_1,catAI_1,mat_1,,,,
ceka_1,ceka_1,cheque_1,,,,
citTI_1,citTI_1,letter_1,,,,
corI+kara_1,corI+kara_1,steal_1,,,,
cora_1,cora_1,thief_1,,,dieb_1,
cotI_1,cotI_1,top_1,,,,
cunAva_1,cunAva_1,election_1,,,,
cuna_1,cuna_1,pick_1,,,pflücken_1,tsumu_1
cuna_2,cuna_2,select_2,,,,
curA_1,curA_1,steal_2,,,,
dAitiMga+kara_1,dAitiMga+kara_1,diet_1,,,nähren_1,
dabala+rotI_1,dabala+rotI_1,bread_1,,,,
dandA_1,dandA_1,stick_1,,,,
deDZa_1,deDZa_1,one-and-a-half_1,,,,
dinara_1,dinara_1,dinner_1,,,,
doYkatara_1,doYkatara_1,doctor_1,,,arzt_1,
drAiMga_1,drAiMga_1,drawing_1,,,,
eka_1,eka_1,a_1,,,,
eka_2,eka_2,1_2,,,,
gA_1,gA_1,sing_1,,,singen_1,utau_1
gAdZI_1,gAdZI_1,train_1,,,,
gAnA_1,gAnA_1,song_1,,,lied_1,uta_1
gAnA_2,gAnA_2,music_2,,,musik_1,
gAya_1,gAya_1,cow_1,,,,
gAzva_1,gAzva_1,village_1,,,,
gIwa_1,gIwa_1,song_2,,,,
gaMxA_1,gaMxA_1,dirty_1,,,,
gaNiwa_1,gaNiwa_1,math_1,,,,
gadZabadZa_1,gadZabadZa_1,wrong_1,,,,
galawI_1,galawI_1,mistake_1,,,,
gamBIra_1,gamBIra_1,serious_1,,,,
garIba_1,garIba_1,poor_1,,,,
geMxa_1,geMxa_1,ball_1,,,,
gilAsa_1,gilAsa_1,glass_1,,,,
gira_1,gira_1,fall_1,,,,
gitAra_1,gitAra_1,guitar_1,,,,
goxa+le_1,goxa+le_1,adopt_1,,,,
guNa_1,guNa_1,quality_1,,,,
gudZiyA_1,gudZiyA_1,doll_1,,,puppe_1,ningyou_1
gudiyA_1,gudiyA_1,doll_2,,,,
guru_1,guru_1,master_1,,,,
guruvAra_1,guruvAra_1,Thu_2,,,,
hAWa_1,hAWa_1,hand_1,,,reichen_1,watasu_1
hAla_1,hAla_1,condition_1,,,,
hAz_1,hAz_1,yes_1,,,,
hENdabEga_1,hENdabEga_1,purse_1,,,,
hE_1,hE_1,have_1,,,haben_1,
hE_2,hE_2,be_3,,,ist_1,
hIrA_1,hIrA_1,diamond_1,,,,
haPwA_1,haPwA_1,week_1,,,,
