morph_input.txt-out.tx,kala ko pAnI barasA WA,#कल को पानी बरसा था,
morph_input.txt-out.tx,vaha Gara meM KaragoSa ko DUzDZa rahA WA,वह घर में खरगोश को ढूँढ़ रहा था,
Isma story/isma1,No such File found.,Error,
morph_input.txt-out.tx,eka samaya kA bAwa hE,एक समय का बात है,
morph_input.txt-out.tx,Sera jaMgala meM #so WA,शेर जंगल में #सो था,
Isma story/isma3.tx,No such File found.,Error,
morph_input.txt-out.tx,Apa kim meM rahawA hE,आप किम् में रहता है,
morph_input.txt-out.tx,aXyApaka aBI AyA hE,अध्यापक अभी आया है,
morph_input.txt-out.tx,baccA agaswa ko Pala KAwA hE,बच्चा अगस्त को फल खाता है,
morph_input.txt-out.tx,bacce janavarI ko Pala KAwe hEM,बच्चे जनवरी को फल खाते हैं,
morph_input.txt-out.tx,baccA kim KAwA hE,बच्चा किम् खाता है,
morph_input.txt-out.tx,bacce maMgalavAra ko Pala KAwe hEM,बच्चे मंगलवार को फल खाते हैं,
morph_input.txt-out.tx,bacce maMgalavAra ko Pala KAwe hEM,बच्चे मंगलवार को फल खाते हैं,
morph_input.txt-out.tx,Apa #kahAz meM rahawA hE,आप #कहाँ में रहता है,
morph_input.txt-out.tx,Apa kim meM rahawA hE,आप किम् में रहता है,
morph_input.txt-out.tx,Apa kim meM rahawA hE,आप किम् में रहता है,
morph_input.txt-out.tx,jaMgala meM Sera,जंगल में शेर,
morph_input.txt-out.tx,aXyApaka aBI AyA hE,अध्यापक अभी आया है,
morph_input.txt-out.tx,usa peda kA #nIce meM ArAma kara rahA WA,उस पेड का #नीचे में आराम कर रहा था,
morph_input.txt-out.tx,usa peda kA #nIce meM bila meM cUhA rahawA WA,उस पेड का #नीचे में बिल में चूहा रहता था,
morph_input.txt-out.tx,cUhA bila se #bAhara meM,चूहा बिल से #बाहर में,
morph_input.txt-out.tx,jaMgala meM Sera,जंगल में शेर,
morph_input.txt-out.tx,usa peda kA #nIce meM ArAma kara rahA WA,उस पेड का #नीचे में आराम कर रहा था,
morph_input.txt-out.tx,jaMgala meM Sera,जंगल में शेर,
morph_input.txt-out.tx,usa peda kA #nIce meM ArAma kara rahA WA,उस पेड का #नीचे में आराम कर रहा था,
morph_input.txt-out.tx,usa peda kA #nIce meM bila meM cUhA rahawA WA,उस पेड का #नीचे में बिल में चूहा रहता था,
morph_input.txt-out.tx,cUhA bila se #bAhara meM,चूहा बिल से #बाहर में,
morph_input.txt-out.tx,usa Sera meM #uCala#kUxa kara lagegA,उस शेर में #उछल#कूद कर लगेगा,
morph_input.txt-out.tx,isa Sera gussA AyA,इस शेर गुस्सा आया,
morph_input.txt-out.tx,usane cUhoM ko pakade,उसने चूहों को पकडे,
morph_input.txt-out.tx,cUhA dara,चूहा डर,
morph_input.txt-out.tx,usa Sera isakA #kahayA,उस शेर इसका #कहया,
morph_input.txt-out.tx,mEM mAPa #kara,मैं माफ #कर,
morph_input.txt-out.tx,jaba ko kaBI ko #BI wuma AvaSyakawA hoUzgA waba mEM wuma #avaSya maxaxa karUzgA,जब को कभी को #भी तुम आवश्यकता होऊँगा तब मैं तुम #अवश्य मदद करूँगा,
morph_input.txt-out.tx,Sera usake bAwa meM haMsa AyA,शेर उसके बात में हंस आया,
morph_input.txt-out.tx,usa cUhe ko Coda,उस चूहे को छोड,
morph_input.txt-out.tx,kuCa samaya ko #bAxa jaMgala meM #kuCa SikArI AyA,#कुछ समय को #बाद जंगल में #कुछ शिकारी आया,
morph_input.txt-out.tx,usane Sera pakada ke lie jAla biCAyA,उसने शेर पकड के लिए जाल बिछाया,
morph_input.txt-out.tx,Sera usa jAla meM #PaMsa,शेर उस जाल में #फंस,
morph_input.txt-out.tx,usa jAla se #nahIM #nikala,उस जाल से #नहीं #निकल,
morph_input.txt-out.tx,Sera bahuwa pareSAna ho,शेर बहुत परेशान हो,
morph_input.txt-out.tx,usa jora xahAdA,उस जोर दहाडा,
